Frame_ID,Configuration,Panel_type,Species,Count
1,Grouped,25_cm,M_gigas,0
1,Grouped,25_cm,M_gigas,0
1,Grouped,25_cm,M_gigas,0
1,Grouped,Flat,M_gigas,0
1,Grouped,Flat,M_gigas,0
1,Grouped,Flat,M_gigas,6
1,Grouped,Ripple,M_gigas,0
1,Grouped,Ripple,M_gigas,0
1,Grouped,Ripple,M_gigas,0
2,Random,25_cm,M_gigas,0
2,Random,25_cm,M_gigas,0
2,Random,25_cm,M_gigas,0
2,Random,Flat,M_gigas,3
2,Random,Flat,M_gigas,0
2,Random,Flat,M_gigas,0
2,Random,Ripple,M_gigas,0
2,Random,Ripple,M_gigas,0
2,Random,Ripple,M_gigas,0
3,Grouped,25_cm,M_gigas,0
3,Grouped,25_cm,M_gigas,0
3,Grouped,25_cm,M_gigas,0
3,Grouped,Flat,M_gigas,0
3,Grouped,Flat,M_gigas,0
3,Grouped,Flat,M_gigas,0
3,Grouped,Ripple,M_gigas,0
3,Grouped,Ripple,M_gigas,0
3,Grouped,Ripple,M_gigas,0
4,Random,25_cm,M_gigas,0
4,Random,25_cm,M_gigas,0
4,Random,25_cm,M_gigas,0
4,Random,Flat,M_gigas,0
4,Random,Flat,M_gigas,0
4,Random,Flat,M_gigas,0
4,Random,Ripple,M_gigas,0
4,Random,Ripple,M_gigas,0
4,Random,Ripple,M_gigas,0
5,Grouped,25_cm,M_gigas,0
5,Grouped,25_cm,M_gigas,0
5,Grouped,25_cm,M_gigas,0
5,Grouped,Flat,M_gigas,0
5,Grouped,Flat,M_gigas,0
5,Grouped,Flat,M_gigas,0
5,Grouped,Ripple,M_gigas,0
5,Grouped,Ripple,M_gigas,0
5,Grouped,Ripple,M_gigas,0
6,Random,25_cm,M_gigas,0
6,Random,25_cm,M_gigas,0
6,Random,25_cm,M_gigas,0
6,Random,Flat,M_gigas,0
6,Random,Flat,M_gigas,0
6,Random,Flat,M_gigas,0
6,Random,Ripple,M_gigas,0
6,Random,Ripple,M_gigas,0
6,Random,Ripple,M_gigas,0
7,Grouped,25_cm,M_gigas,0
7,Grouped,25_cm,M_gigas,0
7,Grouped,25_cm,M_gigas,0
7,Grouped,Flat,M_gigas,0
7,Grouped,Flat,M_gigas,3
7,Grouped,Flat,M_gigas,0
