Frame_ID,Position,Configuration,Panel_position,Panel_type,Sed_depth
10,13,Random,F,25_cm,0.3
10,13,Random,F,25_cm,0.1
10,13,Random,F,25_cm,0.2
8,18,Random,C,25_cm,0.1
8,18,Random,C,25_cm,0.1
8,18,Random,C,25_cm,0.1
12,20,Random,F,25_cm,0.1
12,20,Random,F,25_cm,0.1
12,20,Random,F,25_cm,0.1
6,23,Random,D,25_cm,0.1
6,23,Random,D,25_cm,0.1
6,23,Random,D,25_cm,0.1
3,2,Grouped,A,25_cm,0.2
3,2,Grouped,A,25_cm,0.1
3,2,Grouped,A,25_cm,0.1
17,19,Grouped,H,5_cm,0.1
17,19,Grouped,H,5_cm,0.2
17,19,Grouped,H,5_cm,0.1
22,14,Random,F,5_cm,0.5
22,14,Random,F,5_cm,0.1
22,14,Random,F,5_cm,0.2
24,1,Random,A,5_cm,0.2
24,1,Random,A,5_cm,0.2
24,1,Random,A,5_cm,0.1
22,14,Random,I,5_cm,0.3
22,14,Random,I,5_cm,0.9
22,14,Random,I,5_cm,0.2
23,11,Grouped,I,5_cm,0.1
23,11,Grouped,I,5_cm,0.2
23,11,Grouped,I,5_cm,0.2
18,22,Random,I,Flat,0.4
18,22,Random,I,Flat,0.1
18,22,Random,I,Flat,0.2
15,12,Grouped,D,Flat,0.1
15,12,Grouped,D,Flat,0.1
15,12,Grouped,D,Flat,0.1
23,11,Grouped,A,Flat,0.1
23,11,Grouped,A,Flat,0.1
23,11,Grouped,A,Flat,0.1
14,15,Random,C,Flat,0.1
14,15,Random,C,Flat,0.1
14,15,Random,C,Flat,0.1
23,11,Grouped,D,Flat,0.1
23,11,Grouped,D,Flat,0.1
23,11,Grouped,D,Flat,0.2
3,2,Grouped,F,Ripple,0.1
3,2,Grouped,F,Ripple,0.4
3,2,Grouped,F,Ripple,0.1
16,10,Random,D,Ripple,0.3
16,10,Random,D,Ripple,0.5
16,10,Random,D,Ripple,0.1
15,12,Grouped,G,Ripple,0.3
15,12,Grouped,G,Ripple,0.1
15,12,Grouped,G,Ripple,0.1
24,1,Random,H,Ripple,1
24,1,Random,H,Ripple,0.5
24,1,Random,H,Ripple,0.2
12,20,Random,C,Ripple,0.3
12,20,Random,C,Ripple,0.1
12,20,Random,C,Ripple,0.1
